Blink 182;Blink-182 (stylizováno jako blink-182) je americká punk rocková skupina, kterou v roce 1992 zaloili Tom DeLonge (kytara, zpìv), Scott Raynor (bicí) a Mark Hoppus (basová kytara, zpìv). Pùvodní název skupiny znìl Blink, kvùli irské kapele se stejnım názvem se však pøejmenovali na Blink 182. Vydali osm studiovıch alb, nejvìtší úspìchy sklidily desky Enema of the State a Take Off Your Pants and Jacket z let 1999, resp. 2001. V roce 2005 vydali vıbìr nejvìtších hitù, a poté vyhlásili pauzu na dobu neurèitou. Tom DeLonge zaloil kapelu Angels & Airwaves, Mark Hoppus a Travis Barker pùsobili spoleènì v kapele +44.
Sum 41;Sum 41 je punk rocková kapela z kanadského Ajaxu (Ontario), dritel ocenìní Juno Award. Mezi její èleny patøí Deryck Whibley (vokály, kytara, keyboard, piano), Jason McCaslin (basová kytara, vokály),Frank Zummo (bubny, vokály), Dave Baksh ( sólová kytara ) a Tom Thacker (kytara, vokály)
Joy Division;Joy Division byla anglická hudební skupina zaloená v anglickém mìstì Manchester v roce 1976. Bìhem své existence vydala dvì studiová alba Unknown Pleasures a Closer. V roce 1980 spáchal, epilepsií a depresemi trpící zpìvák Ian Curtis, sebevradu. Bylo mu 23 let. Zbylí èlenové zaloili dodnes existující skupinu New Order.
Bon Jovi;Bon Jovi je americká hard rocková hudební skupina ze Sayreville, New Jersey, zaloená roku 1983. Dnes je kapela pìtièlenná, jejími èleny jsou Jon Bon Jovi (zpìv), Richie Sambora (od roku 2012 odchod z kapely), Phil X (Náhradní kytarista za Richieho Samboru), Tico Torres (bicí, perkuse), David Bryan (klávesy) a Hugh McDonald (basová kytara). Pøi turné kapelu od roku 2005 doprovází Bobby Bandiera. Od zaloení se sestava nijak zvláš nemìnila. Hned na zaèátku Richie Sambora vystøídal Davea Saboa na postu kytaristy. V roce 1994 kapelu opustil baskytarista Alec John Such, kterı oficiálnì nikdy nebyl nahrazen, fakticky však jeho místo zastoupil Hugh McDonnald.
Green Day;Green Day je americká rocková kapela, která vznikla roku 1986. Skupinu tvoøí hlavní zpìvák a kytarista Billie Joe Armstrong, basista a doprovodnı vokalista Mike Dirnt, bubeník Tré Cool a kytarista Jason White, kterı byl za èlena pøijat v roce 2012 po 13 letech spoleèného hraní, ovšem v roce 2016 se vrátil zpátky k roli pomocného kytaristy[1]. Tré Cool nahradil bıvalého bubeníka Johna Kiffmeyera v roce 1990 (ještì pøed vznikem druhého alba Kerplunk) a od té doby je èlenem Green Day.
Simple Plan;Simple Plan je kanadská rocková kapela zaloená v québecké provincii, ve mìstì Montréal. Jejími èleny jsou Pierre Bouvier, Chuck Comeau, Jeff Stinco, Sébastien Lefebvre a David Desrosiers. Sloení skupiny se od doby vzniku nezmìnilo. Kapela prozatím vydala šest studiovıch desek: No Pads, No Helmets...Just Balls (2002), Still Not Getting Any... (2004), Simple Plan (2008), Get Your Heart On! (2011), Taking One for the Team (2016), Harder Than It Looks (2022), jedno EP: Get Your Heart On – The Second Coming! (2013) a dvì live alba: Live in Japan 2002 (2003) a MTV Hard Rock Live (2005).
